roll : -3.11715804406, pitch : -0.0532325421858, yaw : -0.365821011218
roll : -2.74976623652, pitch : -0.0359537825911, yaw : -0.392699081699
roll : -2.73999239271, pitch : -0.0354301838155, yaw : -0.393048147549
roll : -2.74138865611, pitch : -0.0417133691227, yaw : -0.39374627925
roll : -2.74679917679, pitch : -0.0548033385126, yaw : -0.396015207278
roll : -2.75552582305, pitch : -0.066497044501, yaw : -0.396713338978
roll : -2.77612070822, pitch : -0.0713839664066, yaw : -0.392873614624
roll : -2.82341913095, pitch : -0.0640535835482, yaw : -0.387986692718
roll : -2.88694911572, pitch : -0.0521853446346, yaw : -0.382925237888
roll : -2.93843632866, pitch : -0.0434586983747, yaw : -0.37594392088
roll : -2.99236700254, pitch : -0.0408407044967, yaw : -0.374547657478
roll : -3.06148204092, pitch : -0.0340339204139, yaw : -0.365995544143
roll : -3.10092648202, pitch : -0.0204203522483, yaw : -0.35482543693
roll : -3.11925243916, pitch : -0.0115191730632, yaw : -0.350985712576
roll : -3.13077161223, pitch : -0.00872664625997, yaw : -0.350811179651
roll : -3.13216787563, pitch : -0.00418879020479, yaw : -0.351683844277
roll : -3.131295211, pitch : -0.0010471975512, yaw : -0.354301838155
roll : -3.13391320488, pitch : -0.0261799387799, yaw : -0.358665161285
roll : -3.1326914744, pitch : -0.0839503370209, yaw : -0.36355208319
roll : -3.13024801345, pitch : -0.152890842475, yaw : -0.364773813667
roll : -3.13321507318, pitch : -0.216246294322, yaw : -0.364599280742
roll : -3.13408773781, pitch : -0.273667626713, yaw : -0.36791540632
roll : -3.13530946828, pitch : -0.334928683458, yaw : -0.368962603872
roll : -3.13461133658, pitch : -0.401425727959, yaw : -0.364599280742
roll : -3.12763001957, pitch : -0.452214809192, yaw : -0.359712358836
roll : -3.12483749277, pitch : -0.468446371235, yaw : -0.359537825911
roll : -3.1250120257, pitch : -0.460243323751, yaw : -0.359712358836
roll : -3.12064870257, pitch : -0.452738407967, yaw : -0.360934089312
roll : -3.11645991236, pitch : -0.428129265514, yaw : -0.362330352714
roll : -3.11017672705, pitch : -0.352905574753, yaw : -0.364250214891
roll : -3.10389354175, pitch : -0.232128790515, yaw : -0.366170077068
roll : -3.1035444759, pitch : -0.101752695391, yaw : -0.367391807545
roll : -3.1049407393, pitch : 0.00593411945678, yaw : -0.365995544143
roll : -3.09778488936, pitch : 0.0869173967493, yaw : -0.361283155163
roll : -3.09080357236, pitch : 0.170169602069, yaw : -0.352905574753
roll : -3.09324703331, pitch : 0.270526034059, yaw : -0.349589449174
roll : -3.09848302107, pitch : 0.381354441561, yaw : -0.351683844277
roll : -3.09970475154, pitch : 0.487819525932, yaw : -0.352556508903
roll : -3.1077332661, pitch : 0.543320996146, yaw : -0.353952772304
roll : -3.11174752338, pitch : 0.526914901177, yaw : -0.356745299108
roll : -3.10528980515, pitch : 0.473682358991, yaw : -0.355698101556
roll : -3.09918115277, pitch : 0.425336738711, yaw : -0.352032910127
roll : -3.1035444759, pitch : 0.36320301734, yaw : -0.35482543693
roll : -3.10965312828, pitch : 0.246615023307, yaw : -0.366693675844
roll : -3.10389354175, pitch : 0.0916297857297, yaw : -0.377863783057
roll : -3.09883208692, pitch : -0.0659734457254, yaw : -0.382227106187
roll : -3.10075194909, pitch : -0.187622894589, yaw : -0.383797902514
roll : -3.10179914664, pitch : -0.265290046303, yaw : -0.390779219522
roll : -3.11419098433, pitch : -0.351160245501, yaw : -0.400378530407
roll : -3.11803070869, pitch : -0.460068790826, yaw : -0.401949326734
roll : -3.11157299046, pitch : -0.543495529071, yaw : -0.397586003604
roll : -3.1084313978, pitch : -0.562694150843, yaw : -0.397062404829
roll : -3.11035125998, pitch : -0.549255115603, yaw : -0.398633201156
roll : -3.10755873318, pitch : -0.531103691382, yaw : -0.399680398707
roll : -3.1084313978, pitch : -0.516093859815, yaw : -0.400029464557
roll : -3.10720966733, pitch : -0.475602221168, yaw : -0.400727596258
roll : -3.1028463442, pitch : -0.375594855029, yaw : -0.400203997482
roll : -3.10127554787, pitch : -0.2410299697, yaw : -0.39776053653
roll : -3.10336994297, pitch : -0.116238928183, yaw : -0.397236937754
roll : -3.09865755399, pitch : -0.00820304748437, yaw : -0.396887871904
roll : -3.09795942229, pitch : 0.0951204442337, yaw : -0.390604686596
roll : -3.10022835032, pitch : 0.20978857609, yaw : -0.381878040336
roll : -3.10371900882, pitch : 0.27157323161, yaw : -0.382227106187
roll : -3.1084313978, pitch : 0.231081592964, yaw : -0.390081087821
roll : -3.09900661984, pitch : 0.162839219211, yaw : -0.390081087821
roll : -3.09132717113, pitch : 0.123220245191, yaw : -0.383972435439
roll : -3.09062903943, pitch : 0.119904119612, yaw : -0.382052573262
roll : -3.09673769181, pitch : 0.130376095124, yaw : -0.386415896392
roll : -3.10214821249, pitch : 0.133692220703, yaw : -0.391302818297
roll : -3.10214821249, pitch : 0.127758101246, yaw : -0.391651884148
roll : -3.10022835032, pitch : 0.118682389136, yaw : -0.393048147549
roll : -3.10267181127, pitch : 0.107512281923, yaw : -0.400029464557
roll : -3.10581340392, pitch : 0.0930260491313, yaw : -0.408756110817
roll : -3.10930406243, pitch : 0.0759218224618, yaw : -0.416610092451
roll : -3.1098276612, pitch : 0.051661745859, yaw : -0.442964564156
roll : -3.10947859535, pitch : 0.0191986217719, yaw : -0.49916416607
roll : -3.12483749277, pitch : -0.00488692190558, yaw : -0.56461401302
roll : 3.14037092311, pitch : -0.0178023583703, yaw : -0.631809189222
roll : -3.14002185726, pitch : -0.0260054058547, yaw : -0.690277719164
roll : 3.14002185726, pitch : -0.0361283155163, yaw : -0.733387351688
roll : 3.13565853413, pitch : -0.0417133691227, yaw : -0.758171027066
roll : 3.14002185726, pitch : -0.0445058959259, yaw : -0.765326877
roll : -3.13792746216, pitch : -0.0466002910282, yaw : -0.755553033188
roll : -3.13234240855, pitch : -0.0460766922527, yaw : -0.73076935781
roll : -3.12536109155, pitch : -0.0418879020479, yaw : -0.686088928959
roll : -3.12309216352, pitch : -0.0368264472171, yaw : -0.626398668541
roll : -3.12344122937, pitch : -0.0326376570123, yaw : -0.555363767985
roll : -3.11576178066, pitch : -0.0287979326579, yaw : -0.472809694365
roll : -3.11000219413, pitch : -0.0289724655831, yaw : -0.381179908636
roll : -3.09638862596, pitch : -0.0422369678983, yaw : -0.287106661953
roll : -3.07841173467, pitch : -0.0651007810994, yaw : -0.204203522483
roll : -3.0592131129, pitch : -0.0856956662729, yaw : -0.149574716896
roll : -3.04786847276, pitch : -0.0982620368873, yaw : -0.125314640293
roll : -3.04647220936, pitch : -0.0923279174305, yaw : -0.124092909817
roll : -3.05083553249, pitch : -0.076969020013, yaw : -0.13962634016
roll : -3.05868951412, pitch : -0.0610865238198, yaw : -0.162839219211
roll : -3.06567083113, pitch : -0.0541052068118, yaw : -0.188844625066
roll : -3.07003415426, pitch : -0.0488692190558, yaw : -0.228463599086
roll : -3.07701547127, pitch : -0.0397935069455, yaw : -0.293913446036
roll : -3.09167623698, pitch : -0.0336848545635, yaw : -0.379434579384
roll : -3.11471458311, pitch : -0.0321140582367, yaw : -0.473682358991
roll : -3.13216787563, pitch : -0.0298451302091, yaw : -0.566184809347
roll : 3.13373867196, pitch : -0.0274016692563, yaw : -0.647691685415
roll : 3.12239403182, pitch : -0.0287979326579, yaw : -0.710523538487
roll : 3.11576178066, pitch : -0.0343829862643, yaw : -0.749793446657
roll : 3.11768164284, pitch : -0.0408407044967, yaw : -0.768468469653
roll : 3.11907790624, pitch : -0.0527089434102, yaw : -0.776147918362
roll : 3.12099776842, pitch : -0.0589921287174, yaw : -0.773878990334
roll : 3.12379029522, pitch : -0.055152404363, yaw : -0.76096355387
roll : 3.12605922325, pitch : -0.0469493568786, yaw : -0.733736417538
roll : 3.13548400121, pitch : -0.0364773813667, yaw : -0.683296402156
roll : -3.12797908542, pitch : -0.0246091424531, yaw : -0.608072711395
roll : -3.1077332661, pitch : -0.0150098315672, yaw : -0.516966524441
roll : -3.09080357236, pitch : -0.00767944870878, yaw : -0.428827397215
roll : -3.07387387861, pitch : -0.00506145483078, yaw : -0.363377550265
roll : -3.07212854936, pitch : -0.0010471975512, yaw : -0.327772833525
roll : -3.07649187249, pitch : 0.00698131700798, yaw : -0.315380995835
roll : -3.07788813589, pitch : 0.013962634016, yaw : -0.320966049442
roll : -3.08242599195, pitch : 0.0172787595947, yaw : -0.338419341962
roll : -3.08748744678, pitch : 0.0186750229963, yaw : -0.359712358836
roll : -3.0890582431, pitch : 0.0158824961931, yaw : -0.374198591628
roll : -3.09394516501, pitch : 0.00506145483078, yaw : -0.382401639112
roll : -3.09027997358, pitch : -0.00453785605519, yaw : -0.390430153671
roll : -3.0890582431, pitch : -0.0115191730632, yaw : -0.394793476801
roll : -3.09010544066, pitch : -0.0185004900711, yaw : -0.398284135305
roll : -3.1049407393, pitch : -0.0305432619099, yaw : -0.405614518163
roll : -3.10476620637, pitch : -0.0462512251778, yaw : -0.408057979116
roll : -3.10581340392, pitch : -0.0504400153826, yaw : -0.401076662108
roll : -3.11139845753, pitch : -0.0493928178314, yaw : -0.401949326734
roll : -3.11174752338, pitch : -0.0623082542962, yaw : -0.403520123061
roll : -3.11401645141, pitch : -0.0654498469498, yaw : -0.403694655986
roll : -3.11488911603, pitch : -0.0652753140246, yaw : -0.403869188911
roll : -3.11803070869, pitch : -0.0740019602846, yaw : -0.403694655986
roll : -3.11680897821, pitch : -0.0747000919854, yaw : -0.403345590136
roll : -3.11855430746, pitch : -0.0684169066782, yaw : -0.403520123061
roll : -3.11803070869, pitch : -0.0785398163397, yaw : -0.403171057211
roll : -3.11803070869, pitch : -0.0947713783833, yaw : -0.403345590136
roll : -3.11803070869, pitch : -0.0891863247769, yaw : -0.403171057211
roll : -3.11837977454, pitch : -0.0806342114421, yaw : -0.403171057211
roll : -3.11855430746, pitch : -0.0781907504893, yaw : -0.403345590136
roll : -3.11855430746, pitch : -0.0836012711705, yaw : -0.403171057211
roll : -3.11837977454, pitch : -0.0890117918517, yaw : -0.403171057211
roll : -3.11837977454, pitch : -0.0881391272257, yaw : -0.403171057211
roll : -3.11855430746, pitch : -0.0839503370209, yaw : -0.403171057211
roll : -3.11820524161, pitch : -0.0809832772925, yaw : -0.403171057211
roll : -3.11820524161, pitch : -0.0827286065445, yaw : -0.403345590136
roll : -3.11820524161, pitch : -0.0862192650485, yaw : -0.403345590136
roll : -3.11715804406, pitch : -0.0532325421858, yaw : -0.365821011218
roll : -3.11733257699, pitch : -0.0532325421858, yaw : -0.365821011218
roll : -3.11733257699, pitch : -0.0528834763354, yaw : -0.365821011218
roll : -3.11820524161, pitch : -0.0514872129338, yaw : -0.365821011218
roll : -3.11977603794, pitch : -0.0492182849062, yaw : -0.365646478293
roll : -3.12099776842, pitch : -0.0486946861306, yaw : -0.365646478293
roll : -3.12221949889, pitch : -0.047298422729, yaw : -0.365646478293
roll : -3.12274309767, pitch : -0.0459021593275, yaw : -0.365646478293
roll : -3.12326669644, pitch : -0.0450294947015, yaw : -0.365471945368
roll : -3.12344122937, pitch : -0.0457276264023, yaw : -0.365471945368
roll : -3.12379029522, pitch : -0.0450294947015, yaw : -0.365646478293
roll : -3.124313894, pitch : -0.0457276264023, yaw : -0.365646478293
roll : -3.12448842692, pitch : -0.0462512251778, yaw : -0.365122879517
roll : -3.12396482814, pitch : -0.0446804288511, yaw : -0.36320301734
roll : -3.12728095372, pitch : -0.0326376570123, yaw : -0.360759556387
roll : -3.13705479753, pitch : -0.0179768912955, yaw : -0.35849062836
roll : 3.12396482814, pitch : -0.0162315620435, yaw : -0.362679418564
roll : 3.12117230134, pitch : -0.00855211333477, yaw : -0.371056998974
roll : 3.12448842692, pitch : 0.0181514242207, yaw : -0.369835268498
roll : 3.11942697209, pitch : 0.0561996019142, yaw : -0.369486202647
roll : 3.1264082891, pitch : 0.0905825881785, yaw : -0.372802328226
roll : 3.12972441468, pitch : 0.103672557568, yaw : -0.37664205258
roll : -3.13845106094, pitch : 0.0945968454581, yaw : -0.378212848907
roll : -3.1028463442, pitch : 0.0762708883122, yaw : -0.375071256254
roll : -3.06584536405, pitch : 0.0651007810994, yaw : -0.372802328226
roll : -3.03425490459, pitch : 0.0740019602846, yaw : -0.373500459927
roll : -2.99533406227, pitch : 0.0898844564777, yaw : -0.379085513533
roll : -2.95030456757, pitch : 0.0961676417849, yaw : -0.384845100065
roll : -2.909638396, pitch : 0.0902335223281, yaw : -0.384321501289
roll : -2.86617969763, pitch : 0.0774926187885, yaw : -0.380830842785
roll : -2.83092404673, pitch : 0.0635299847726, yaw : -0.377863783057
roll : -2.81469248469, pitch : 0.055152404363, yaw : -0.378038315982
roll : -2.81416888592, pitch : 0.058643062867, yaw : -0.379260046458
roll : -2.81329622129, pitch : 0.0670206432766, yaw : -0.378038315982
roll : -2.81521608347, pitch : 0.0705113017806, yaw : -0.378561914758
roll : -2.83249484306, pitch : 0.0736528944342, yaw : -0.379434579384
roll : -2.85954744647, pitch : 0.0802851455917, yaw : -0.38030724401
roll : -2.89707202539, pitch : 0.0912807198793, yaw : -0.381179908636
roll : -2.93616740063, pitch : 0.107512281923, yaw : -0.379958178159
roll : -2.97316838077, pitch : 0.120427718388, yaw : -0.378561914758
roll : -3.01435815112, pitch : 0.11815879036, yaw : -0.372976861151
roll : -3.04525047888, pitch : 0.104894288045, yaw : -0.369835268498
roll : -3.0813787944, pitch : 0.0952949771589, yaw : -0.364250214891
roll : -3.11837977454, pitch : 0.0947713783833, yaw : -0.359537825911
roll : 3.12693188787, pitch : 0.0937241808321, yaw : -0.357967029584
roll : 3.08539305168, pitch : 0.0928515162061, yaw : -0.357443430808
roll : 3.04455234718, pitch : 0.0951204442337, yaw : -0.359712358836
roll : 3.00563150486, pitch : 0.0952949771589, yaw : -0.361981286864
roll : 2.97247024907, pitch : 0.0870919296745, yaw : -0.363901149041
roll : 2.94786110662, pitch : 0.0802851455917, yaw : -0.365646478293
roll : 2.92098303614, pitch : 0.0830776723949, yaw : -0.366693675844
roll : 2.90789306675, pitch : 0.0921533845053, yaw : -0.366693675844
roll : 2.9061477375, pitch : 0.0961676417849, yaw : -0.363377550265
roll : 2.90702040212, pitch : 0.0930260491313, yaw : -0.361457688088
roll : 2.91120919233, pitch : 0.0926769832809, yaw : -0.360235957612
roll : 2.91574704838, pitch : 0.0970403064109, yaw : -0.360934089312
roll : 2.92115756906, pitch : 0.101229096616, yaw : -0.36355208319
roll : 2.93512020308, pitch : 0.104894288045, yaw : -0.364948346592
roll : 2.95554055533, pitch : 0.104894288045, yaw : -0.364948346592
roll : 2.97526277587, pitch : 0.107337748998, yaw : -0.365821011218
roll : 3.00266444513, pitch : 0.113620934305, yaw : -0.365297412442
roll : 3.03093877901, pitch : 0.116587994033, yaw : -0.364424747816
roll : 3.05799138242, pitch : 0.119729586687, yaw : -0.365471945368
roll : 3.08661478215, pitch : 0.120078652537, yaw : -0.364599280742
roll : 3.12239403182, pitch : 0.117635191584, yaw : -0.364250214891
roll : -3.12134683427, pitch : 0.11344640138, yaw : -0.365122879517
roll : -3.08818557848, pitch : 0.114493598931, yaw : -0.365122879517
roll : -3.05694418487, pitch : 0.118856922061, yaw : -0.36721727462
roll : -3.01854694132, pitch : 0.120776784238, yaw : -0.369835268498
roll : -2.98189502703, pitch : 0.113620934305, yaw : -0.368439005096
roll : -2.94279965179, pitch : 0.106290551446, yaw : -0.365821011218
roll : -2.90440240824, pitch : 0.0963421747101, yaw : -0.36320301734
roll : -2.87001942198, pitch : 0.0874409955249, yaw : -0.360061424686
roll : -2.83773083082, pitch : 0.0816814089933, yaw : -0.357967029584
roll : -2.80840929938, pitch : 0.0750491578358, yaw : -0.358316095434
roll : -2.78519642033, pitch : 0.0710349005562, yaw : -0.359014227135
roll : -2.77646977407, pitch : 0.0703367688554, yaw : -0.35918876006
roll : -2.77263004972, pitch : 0.0701622359302, yaw : -0.359712358836
roll : -2.77175738509, pitch : 0.069987703005, yaw : -0.359537825911
roll : -2.7745499119, pitch : 0.0696386371546, yaw : -0.361108622238
roll : -2.78205482768, pitch : 0.0706858347058, yaw : -0.36320301734
roll : -2.79235227027, pitch : 0.0738274273594, yaw : -0.364424747816
roll : -2.80910743108, pitch : 0.0795870138909, yaw : -0.364773813667
roll : -2.82830605286, pitch : 0.0862192650485, yaw : -0.365821011218
roll : -2.85448599164, pitch : 0.0947713783833, yaw : -0.368264472171
roll : -2.89009070838, pitch : 0.104196156344, yaw : -0.371056998974
roll : -2.92133210199, pitch : 0.10908307825, yaw : -0.372627795301
roll : -2.95100269927, pitch : 0.108559479474, yaw : -0.371231531899
roll : -2.98538568554, pitch : 0.112224670903, yaw : -0.370533400198
roll : -3.02203759983, pitch : 0.123394778116, yaw : -0.369660735572
roll : -3.05764231657, pitch : 0.132819556077, yaw : -0.368264472171
roll : -3.10040288324, pitch : 0.132295957301, yaw : -0.369660735572
roll : 3.13722933046, pitch : 0.128107167096, yaw : -0.374198591628
roll : 3.09708675766, pitch : 0.12653637077, yaw : -0.377514717206
roll : 3.05607152024, pitch : 0.128281700022, yaw : -0.379085513533
roll : 3.00929669629, pitch : 0.131423292675, yaw : -0.384496034214
roll : 2.97020132104, pitch : 0.13962634016, yaw : -0.390255620746
roll : 2.93372393968, pitch : 0.145560459616, yaw : -0.392699081699
roll : 2.89375589981, pitch : 0.138753675534, yaw : -0.395317075577
roll : 2.86565609885, pitch : 0.125838239069, yaw : -0.396713338978
roll : 2.85134439898, pitch : 0.118333323285, yaw : -0.395666141427
roll : 2.83511283694, pitch : 0.119031454986, yaw : -0.39776053653
roll : 2.82551352605, pitch : 0.123743843966, yaw : -0.400203997482
roll : 2.82778245408, pitch : 0.123569311041, yaw : -0.400378530407
roll : 2.82865511871, pitch : 0.118682389136, yaw : -0.400553063333
roll : 2.83074951381, pitch : 0.119729586687, yaw : -0.400727596258
roll : 2.83668363327, pitch : 0.119729586687, yaw : -0.398633201156
roll : 2.84471214783, pitch : 0.119729586687, yaw : -0.395317075577
roll : 2.85832571599, pitch : 0.125663706144, yaw : -0.392524548774
roll : 2.87665167314, pitch : 0.1308996939, yaw : -0.389906554896
roll : 2.89305776811, pitch : 0.132121424376, yaw : -0.388859357344
roll : 2.90928933015, pitch : 0.133168621927, yaw : -0.388510291494
roll : 2.93005874825, pitch : 0.133866753628, yaw : -0.387114028092
roll : 2.95588962118, pitch : 0.133168621927, yaw : -0.38536869884
roll : 2.9789279673, pitch : 0.134913951179, yaw : -0.385194165915
roll : 3.00947122921, pitch : 0.13962634016, yaw : -0.385194165915
roll : 3.04071262282, pitch : 0.141022603561, yaw : -0.38536869884
roll : 3.06898695671, pitch : 0.139277274309, yaw : -0.387463093943
roll : 3.09813395522, pitch : 0.134215819478, yaw : -0.388859357344
roll : 3.1305970793, pitch : 0.127409035396, yaw : -0.389208423195
roll : -3.12082323549, pitch : 0.125140107368, yaw : -0.387637626868
roll : -3.08783651263, pitch : 0.126361837844, yaw : -0.386764962242
roll : -3.05310446051, pitch : 0.123045712266, yaw : -0.387986692718
roll : -3.01715067792, pitch : 0.116762526958, yaw : -0.387114028092
roll : -2.98032423071, pitch : 0.109257611175, yaw : -0.38467056714
roll : -2.94035619083, pitch : 0.101752695391, yaw : -0.383099770813
roll : -2.90667133627, pitch : 0.0900589894029, yaw : -0.384321501289
roll : -2.87577900851, pitch : 0.0783652834145, yaw : -0.387463093943
roll : -2.8410469564, pitch : 0.0715584993318, yaw : -0.388510291494
roll : -2.81050369449, pitch : 0.0623082542962, yaw : -0.387812159793
roll : -2.78467282156, pitch : 0.0575958653158, yaw : -0.386415896392
roll : -2.76407793638, pitch : 0.0556760031386, yaw : -0.382576172037
roll : -2.74959170359, pitch : 0.0527089434102, yaw : -0.379434579384
roll : -2.74487931461, pitch : 0.0479965544298, yaw : -0.379783645234
roll : -2.74295945243, pitch : 0.0488692190558, yaw : -0.381179908636
roll : -2.74453024876, pitch : 0.0495673507566, yaw : -0.382576172037
roll : -2.75046436822, pitch : 0.0511381470834, yaw : -0.384321501289
roll : -2.76303073883, pitch : 0.0541052068118, yaw : -0.38467056714
roll : -2.7829274923, pitch : 0.0605629250442, yaw : -0.384146968364
roll : -2.80701303598, pitch : 0.0715584993318, yaw : -0.38467056714
roll : -2.82987684918, pitch : 0.0822050077689, yaw : -0.386590429317
roll : -2.85972197939, pitch : 0.0881391272257, yaw : -0.38467056714
roll : -2.88729818157, pitch : 0.0952949771589, yaw : -0.382750704962
roll : -2.91435078498, pitch : 0.102625360017, yaw : -0.381179908636
roll : -2.94925737002, pitch : 0.110304808726, yaw : -0.378212848907
roll : -2.98119689533, pitch : 0.116238928183, yaw : -0.37664205258
roll : -3.02029227058, pitch : 0.116238928183, yaw : -0.374373124553
roll : -3.061307508, pitch : 0.116762526958, yaw : -0.373849525777
roll : -3.10092648202, pitch : 0.120078652537, yaw : -0.373500459927
roll : 3.13949825849, pitch : 0.123743843966, yaw : -0.372802328226
roll : 3.10232274542, pitch : 0.123569311041, yaw : -0.373849525777
roll : 3.06148204092, pitch : 0.120253185462, yaw : -0.373849525777
roll : 3.0176742767, pitch : 0.117286125734, yaw : -0.37594392088
roll : 2.97945156608, pitch : 0.115889862332, yaw : -0.38030724401
roll : 2.94105432254, pitch : 0.11815879036, yaw : -0.383274303738
roll : 2.90527507287, pitch : 0.121998514714, yaw : -0.386415896392
roll : 2.87228835001, pitch : 0.120951317163, yaw : -0.38938295612
roll : 2.83877802837, pitch : 0.118682389136, yaw : -0.392175482923
roll : 2.82935325041, pitch : 0.11815879036, yaw : -0.395666141427
roll : 2.83040044796, pitch : 0.113620934305, yaw : -0.396538806053
roll : 2.82673525653, pitch : 0.110479341651, yaw : -0.398982267006
roll : 2.83266937599, pitch : 0.113970000155, yaw : -0.400029464557
roll : 2.85151893191, pitch : 0.116587994033, yaw : -0.397411470679
roll : 2.87961873287, pitch : 0.116413461108, yaw : -0.392699081699
roll : 2.91871410811, pitch : 0.121474915939, yaw : -0.38501963299
roll : 2.96653612961, pitch : 0.129852496348, yaw : -0.375245789179
roll : 3.00563150486, pitch : 0.138230076758, yaw : -0.366693675844
roll : 3.03931635942, pitch : 0.147480321794, yaw : -0.35918876006
roll : 3.06567083113, pitch : 0.146258591317, yaw : -0.353603706454
roll : 3.08102972855, pitch : 0.146084058392, yaw : -0.353429173529
roll : 3.08923277603, pitch : 0.155508836353, yaw : -0.356919832033
roll : 3.09254890161, pitch : 0.16179202166, yaw : -0.360759556387
roll : 3.09691222474, pitch : 0.156032435128, yaw : -0.364424747816
roll : 3.10406807467, pitch : 0.136310214581, yaw : -0.364948346592
roll : 3.11401645141, pitch : 0.102276294167, yaw : -0.364424747816
roll : 3.12326669644, pitch : 0.0642281164734, yaw : -0.365646478293
roll : 3.1292008159, pitch : 0.0274016692563, yaw : -0.375245789179
roll : 3.12256856474, pitch : -0.00802851455917, yaw : -0.385543231766
roll : 3.11960150501, pitch : -0.047298422729, yaw : -0.391302818297
roll : 3.1250120257, pitch : -0.100007366139, yaw : -0.391477351222
roll : 3.13408773781, pitch : -0.168075206967, yaw : -0.387986692718
roll : 3.13443680366, pitch : -0.239982772149, yaw : -0.38501963299
roll : 3.13618213291, pitch : -0.298102236241, yaw : -0.383274303738
roll : 3.13862559386, pitch : -0.337546677336, yaw : -0.383623369588
roll : 3.13949825849, pitch : -0.370358867273, yaw : -0.385543231766
roll : 3.14159265359, pitch : -0.405090919388, yaw : -0.387812159793
roll : -3.13530946828, pitch : -0.454134671369, yaw : -0.387986692718
roll : -3.12134683427, pitch : -0.514348530563, yaw : -0.384845100065
roll : -3.10808233195, pitch : -0.561646953292, yaw : -0.380830842785
roll : -3.10162461372, pitch : -0.588001424997, yaw : -0.377863783057
roll : -3.09970475154, pitch : -0.584161700643, yaw : -0.378212848907
roll : -3.10110101494, pitch : -0.570373599552, yaw : -0.381703507411
roll : -3.10441714052, pitch : -0.553443905807, yaw : -0.383972435439
roll : -3.1063370027, pitch : -0.513126800086, yaw : -0.382750704962
roll : -3.11157299046, pitch : -0.461814120078, yaw : -0.382227106187
roll : -3.11628537944, pitch : -0.412421302246, yaw : -0.383099770813
roll : -3.11942697209, pitch : -0.359886891761, yaw : -0.383623369588
roll : -3.1271064208, pitch : -0.30647981665, yaw : -0.382052573262
roll : -3.12658282202, pitch : -0.240331838, yaw : -0.382052573262
roll : -3.12763001957, pitch : -0.160570291183, yaw : -0.38536869884
roll : -3.13513493536, pitch : -0.0792379480405, yaw : -0.391128285372
roll : -3.13827652801, pitch : -0.00593411945678, yaw : -0.396189740203
roll : -3.13810199509, pitch : 0.0462512251778, yaw : -0.399854931632
roll : -3.131295211, pitch : 0.0923279174305, yaw : -0.400553063333
roll : -3.1305970793, pitch : 0.149574716896, yaw : -0.399331332856
roll : -3.13286600733, pitch : 0.220086018676, yaw : -0.397935069455
roll : -3.1319933427, pitch : 0.293564380185, yaw : -0.397935069455
roll : -3.13077161223, pitch : 0.361457688088, yaw : -0.398807734081
roll : -3.1285026842, pitch : 0.428129265514, yaw : -0.396887871904
roll : -3.1257101574, pitch : 0.496022573417, yaw : -0.392175482923
roll : -3.1278045525, pitch : 0.559028959414, yaw : -0.390779219522
roll : -3.12902628298, pitch : 0.610341639422, yaw : -0.390604686596
roll : -3.1278045525, pitch : 0.659036325553, yaw : -0.388684824419
roll : -3.1264082891, pitch : 0.706509281207, yaw : -0.387114028092
roll : -3.12954988175, pitch : 0.746477321078, yaw : -0.387986692718
roll : -3.13583306706, pitch : 0.770737397681, yaw : -0.391302818297
roll : -3.13897465971, pitch : 0.767072206252, yaw : -0.394968009726
roll : -3.13688026461, pitch : 0.748920782031, yaw : -0.394793476801
roll : -3.131295211, pitch : 0.728849495633, yaw : -0.391128285372
roll : -3.13216787563, pitch : 0.688881455762, yaw : -0.392000949998
roll : -3.13426227073, pitch : 0.623082542962, yaw : -0.39776053653
roll : -3.1292008159, pitch : 0.546637121725, yaw : -0.399505865782
roll : -3.124313894, pitch : 0.47263516144, yaw : -0.39845866823
roll : -3.12396482814, pitch : 0.405789051089, yaw : -0.398284135305
roll : -3.12239403182, pitch : 0.338244809037, yaw : -0.400203997482
roll : -3.12064870257, pitch : 0.268431638957, yaw : -0.402996524285
roll : -3.12064870257, pitch : 0.191986217719, yaw : -0.405439985238
roll : -3.11750710991, pitch : 0.123220245191, yaw : -0.406487182789
roll : -3.11628537944, pitch : 0.0570722665402, yaw : -0.408581577892
roll : -3.11750710991, pitch : -0.0144862327916, yaw : -0.410501440069
roll : -3.11750710991, pitch : -0.0942477796077, yaw : -0.412246769321
roll : -3.1098276612, pitch : -0.176452787377, yaw : -0.413992098573
roll : -3.11035125998, pitch : -0.252200076913, yaw : -0.415213829049
roll : -3.11192205631, pitch : -0.314682864135, yaw : -0.416959158301
roll : -3.1091295295, pitch : -0.359886891761, yaw : -0.418704487553
roll : -3.10441714052, pitch : -0.411374104695, yaw : -0.418355421703
roll : -3.10249727835, pitch : -0.463384916404, yaw : -0.415737427825
roll : -3.09813395522, pitch : -0.506145483078, yaw : -0.412770368097
roll : -3.09586502719, pitch : -0.540703002268, yaw : -0.410501440069
roll : -3.09551596134, pitch : -0.560425222815, yaw : -0.409279709593
roll : -3.09569049426, pitch : -0.558505360638, yaw : -0.409454242518
roll : -3.09656315889, pitch : -0.546462588799, yaw : -0.410152374219
roll : -3.09918115277, pitch : -0.539132205941, yaw : -0.410850505919
roll : -3.09726129059, pitch : -0.536514212063, yaw : -0.411374104695
roll : -3.09743582351, pitch : -0.522202512197, yaw : -0.410675972994
roll : -3.10162461372, pitch : -0.489041256409, yaw : -0.408581577892
roll : -3.1042426076, pitch : -0.453611072593, yaw : -0.40718531449
roll : -3.10249727835, pitch : -0.414690230274, yaw : -0.404218254762
